txt,polarity
"['Composers and works include Barbara Kolb , Pauline Oliveros \' Sound Patterns for chorus (1961), Norma Beecroft \'s From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .A very early example is the opening of Jean-Féry Rebel \'s ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).A later example is the third movement of Ruth Crawford Seeger \'s String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock \'s multiple drone based music serves as an example.The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki \'s Threnody to the Victims of Hiroshima (1959) and György Ligeti \'s works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).']",0
"['The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire of Persia and city-states of the Hellenic world that started in 499 BC and lasted until 449 BC.In 494 BC, the Persians regrouped, and attacked the epicentre of the revolt in Miletus.At the Battle of Lade , the Ionians suffered a decisive defeat, and the rebellion collapsed, with the final members being stamped out the following year.Seeking to secure his empire from further revolts and from the interference of the mainland Greeks, Darius embarked on a scheme to conquer Greece and to punish Athens and Eretria for burning Sardis.The actions of the general Pausanias at the siege of Byzantium alienated many of the Greek states from the Spartans, and the anti-Persian alliance was therefore reconstituted around Athenian leadership, as the so-called Delian League .At the Battle of the Eurymedon in 466 BC, the League won a double victory that finally secured freedom for the cities of Ionia.A fleet was sent to Cyprus in 451 BC, but achieved little, and when it withdrew the Greco-Persian Wars drew to a quiet end.']",0
"['Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independentlyBrowser extension , which modifies the interface and/or behavior of web browsersAdd-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applicationsAdd-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applicationsPeripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unitVideo game accessory , a piece of hardware used in conjunction with a video game console for playing video games']",0
"['Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.If the crane is mounted on a barge, the entire vessel is referred to as a dredger.']",0
"['The humanities are academic disciplines that study human culture, using methods that are primarily analytical , critical , or speculative , and having a significant historical element, as distinguished from the mainly empirical approaches of the natural sciences .The humanities include ancient and modern languages , literature , philosophy , religion , and visual and performing arts such as music and theatre .The humanities that are also regarded as social sciences include history , anthropology , area studies , communication studies , cultural studies , law , economics and linguistics .Human disciplines like history , cultural anthropology and psychoanalysis study subject matters to which the experimental method does not apply, and they have access instead to the comparative method and comparative research .']",0
"['In the typical sequence of color phases:the green light allows traffic to proceed in the direction denoted, if it is safe to do sothe yellow/amber light denoting prepare to stop short of the intersection, if it is safe to do sothe red signal prohibits any traffic from proceeding']",0
"['Flo is a fictional character who appears in commercials for Progressive Insurance .She is played by actress and comedian Stephanie Courtney , and has a fan base on social networks like Facebook .Flo debuted in 2008 through television commercials and has since appeared in radio advertisements and web banners .As of November 2010, she had appeared in 53 commercials.']",0
"['In 2007, Knight\'s co-star Isaiah Washington ( Preston Burke ) insulted him with a homophobic slur, which resulted in the termination of Washington\'s Grey\'s Anatomy contract.In 2009, after the conclusion of the fifth season , it was confirmed that Knight would not be returning for the show\'s sixth season .The actor stated the reason for his departure was due to a ""breakdown in communication"" with Rhimes, his character\'s lack of screen time, as well as his decision to be openly gay .Despite this, his death received mixed feedback.']",0
"['The United States of America (USA or U.S.A.), commonly called the United States (US or U.S.) or America, is a federal republic consisting of fifty states and a federal district .The lower forty-eight contiguous states and the federal district of Washington, D.C. are in central North America between Canada and Mexico.The state of Alaska is west of Canada and east of Russia across the Bering Strait, and the state of Hawaii is in the mid-North Pacific.The country also has five populated and nine unpopulated territories in the Pacific and the Caribbean.']",0
"['Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride .It is a syndrome affecting arterial blood vessels , a chronic inflammatory response in the walls of arteries, caused largely by the accumulation of macrophage white blood cells and promoted by low-density lipoproteins (LDL, plasma proteins that carry cholesterol and triglycerides ) without adequate removal of fats and cholesterol from the macrophages by functional high-density lipoproteins (HDL) (see apoA-1 Milano ).It is commonly referred to as a hardening or furring of the arteries.It is caused by the formation of multiple plaques within the arteries.']",0
